Product,Current_Stock,Lead_Time,Safety_Stock
50% Dark Bites,202,3,86
70% Dark Bites,535,5,101
85% Dark Bars,448,7,90
99% Dark & Pure,370,7,94
After Nines,206,3,103
Almond Choco,171,5,42
Baker's Choco Chips,288,6,90
Caramel Stuffed Bars,120,2,46
Choco Coated Almonds,202,5,60
Drinking Coco,221,3,112
Eclairs,566,7,78
Fruit & Nut Bars,314,6,57
Manuka Honey Choco,430,5,43
Milk Bars,558,2,99
Mint Chip Choco,187,2,53
Orange Choco,472,4,48
Organic Choco Syrup,199,4,92
Peanut Butter Cubes,459,3,41
Raspberry Choco,251,5,99
Smooth Sliky Salty,230,5,110
Spicy Special Slims,249,7,83
White Choc,408,7,47
