Product,Current_Stock,Lead_Time,Safety_Stock,Average_Daily_Demand,Reorder_Point,Status,Recommended_Order
50% Dark Bites,202,3,86,163.2,575.5999999999999,Reorder,374.0
70% Dark Bites,535,5,101,190.83333333333334,1055.1666666666667,Reorder,520.0
85% Dark Bars,448,7,90,155.86,1181.02,Reorder,733.0
99% Dark & Pure,370,7,94,165.85714285714286,1255.0,Reorder,885.0
After Nines,206,3,103,165.14,598.42,Reorder,392.0
Almond Choco,171,5,42,140.33333333333334,743.6666666666667,Reorder,573.0
Baker's Choco Chips,288,6,90,170.6829268292683,1114.0975609756097,Reorder,826.0
Caramel Stuffed Bars,120,2,46,202.72093023255815,451.4418604651163,Reorder,331.0
Choco Coated Almonds,202,5,60,165.74358974358975,888.7179487179487,Reorder,687.0
Drinking Coco,221,3,112,154.64285714285714,575.9285714285714,Reorder,355.0
Eclairs,566,7,78,145.95,1099.6499999999999,Reorder,534.0
Fruit & Nut Bars,314,6,57,154.76,985.56,Reorder,672.0
Manuka Honey Choco,430,5,43,172.9111111111111,907.5555555555554,Reorder,478.0
Milk Bars,558,2,99,170.0,439.0,Healthy,0.0
Mint Chip Choco,187,2,53,182.37777777777777,417.75555555555553,Reorder,231.0
Orange Choco,472,4,48,164.51063829787233,706.0425531914893,Reorder,234.0
Organic Choco Syrup,199,4,92,149.01923076923077,688.0769230769231,Reorder,489.0
Peanut Butter Cubes,459,3,41,169.46938775510205,549.4081632653061,Reorder,90.0
Raspberry Choco,251,5,99,148.22916666666666,840.1458333333333,Reorder,589.0
Smooth Sliky Salty,230,5,110,149.32203389830508,856.6101694915254,Reorder,627.0
Spicy Special Slims,249,7,83,160.83333333333334,1208.8333333333335,Reorder,960.0
White Choc,408,7,47,142.06896551724137,1041.4827586206895,Reorder,633.0
